OBJECTID *,Î³¶È,¾­¶È
1,27.763829,111.528136
2,27.778758,111.515408
3,27.774475,111.515642
4,27.772383,111.515267
5,27.801819,111.521264
6,27.794672,111.516017
7,27.812542,111.518661
8,27.782447,111.513008
9,27.784175,111.486417
10,27.800608,111.489047
11,27.7751,111.516
12,27.7651,111.5161
13,27.7623,111.5122
14,27.7616,111.5126
15,27.7609,111.5129
16,27.8108,111.5232
17,27.8116,111.5192
18,27.8098,111.5128
19,27.8101,111.5148
20,27.8049,111.5231
21,27.8006,111.5212
22,27.7967,111.5173
23,27.7928,111.5172
24,27.81679,111.501418
25,27.817,111.505524
26,27.814168,111.499817
27,27.807485,111.499897
28,27.80596,111.511633
29,27.804644,111.499923
30,27.80332,111.511349
31,27.802213,111.495783
32,27.785121,111.51756
33,27.778104,111.500828
34,27.776085,111.506511
35,27.773554,111.497461
36,27.773592,111.505548
37,27.770932,111.503905
38,27.767172,111.479149
39,27.76681,111.506407
40,27.764076,111.478226
41,27.764014,111.504676
42,27.761648,111.501853
43,27.759223,111.502409
44,27.75541,111.515523
45,27.7532,111.499885
46,27.750427,111.491188
47,27.74956,111.500242
48,27.749502,111.488118
49,27.816658,111.493259
50,27.799179,111.469894
51,27.816685,111.486526
52,27.813178,111.482835
53,27.810842,111.481256
